Position,Track Name,Artist,Streams,URL,es_hit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1,Corazón,Maluma,1730873,4lESS6vuruP6a79KWRaQou,1,0.871,0.768,4,-5.401,0,0.122,0.283,2.25e-05,0.162,0.765,98.989,audio_features,4lESS6vuruP6a79KWRaQou,spotify:track:4lESS6vuruP6a79KWRaQou,https://api.spotify.com/v1/tracks/4lESS6vuruP6a79KWRaQou,https://api.spotify.com/v1/audio-analysis/4lESS6vuruP6a79KWRaQou,184067,4
1,Sensualidad,Bad Bunny,1695408,5hcisvFMidkMJlElTO9Qmw,1,0.807,0.681,11,-6.268,1,0.0983,0.423,0.0,0.0962,0.676,140.006,audio_features,5hcisvFMidkMJlElTO9Qmw,spotify:track:5hcisvFMidkMJlElTO9Qmw,https://api.spotify.com/v1/tracks/5hcisvFMidkMJlElTO9Qmw,https://api.spotify.com/v1/audio-analysis/5hcisvFMidkMJlElTO9Qmw,297485,4
1,RITMO (Bad Boys For Life),Black Eyed Peas,1667903,6cy3ki60hLwimwIje7tALf,1,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,audio_features,6cy3ki60hLwimwIje7tALf,spotify:track:6cy3ki60hLwimwIje7tALf,https://api.spotify.com/v1/tracks/6cy3ki60hLwimwIje7tALf,https://api.spotify.com/v1/audio-analysis/6cy3ki60hLwimwIje7tALf,221714,4
1,China,Anuel AA,2717637,2ksOAxtIxY8yElEWw8RhgK,1,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,audio_features,2ksOAxtIxY8yElEWw8RhgK,spotify:track:2ksOAxtIxY8yElEWw8RhgK,https://api.spotify.com/v1/tracks/2ksOAxtIxY8yElEWw8RhgK,https://api.spotify.com/v1/audio-analysis/2ksOAxtIxY8yElEWw8RhgK,301714,4
1,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",Bizarrap,3051587,2S93hylQBYLndMnaJuso8S,1,0.81,0.471,8,-5.047,1,0.0496,0.00554,0.000197,0.134,0.391,75.003,audio_features,2S93hylQBYLndMnaJuso8S,spotify:track:2S93hylQBYLndMnaJuso8S,https://api.spotify.com/v1/tracks/2S93hylQBYLndMnaJuso8S,https://api.spotify.com/v1/audio-analysis/2S93hylQBYLndMnaJuso8S,143292,4
1,Goteo,Duki,2436638,1EoEU4HY57qaITp06TkC6B,1,0.473,0.779,1,-3.725,1,0.0414,0.186,0.0,0.189,0.438,108.287,audio_features,1EoEU4HY57qaITp06TkC6B,spotify:track:1EoEU4HY57qaITp06TkC6B,https://api.spotify.com/v1/tracks/1EoEU4HY57qaITp06TkC6B,https://api.spotify.com/v1/audio-analysis/1EoEU4HY57qaITp06TkC6B,164458,3
1,Fresa,TINI,1947639,4BCPItsB94KDLuERZT3aNM,1,0.781,0.866,5,-3.493,0,0.0867,0.216,0.0,0.101,0.864,95.993,audio_features,4BCPItsB94KDLuERZT3aNM,spotify:track:4BCPItsB94KDLuERZT3aNM,https://api.spotify.com/v1/tracks/4BCPItsB94KDLuERZT3aNM,https://api.spotify.com/v1/audio-analysis/4BCPItsB94KDLuERZT3aNM,165646,4
1,Amorfoda,Bad Bunny,2158562,3ITvHA9zhZZdBJsOsAUegF,1,0.742,0.432,9,-7.539,0,0.0615,0.984,5.78e-05,0.0796,0.252,148.005,audio_features,3ITvHA9zhZZdBJsOsAUegF,spotify:track:3ITvHA9zhZZdBJsOsAUegF,https://api.spotify.com/v1/tracks/3ITvHA9zhZZdBJsOsAUegF,https://api.spotify.com/v1/audio-analysis/3ITvHA9zhZZdBJsOsAUegF,155676,3
2,MIA (feat. Drake),Bad Bunny,1504782,116H0KvKr2Zl4RPuVBruDO,1,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,audio_features,116H0KvKr2Zl4RPuVBruDO,spotify:track:116H0KvKr2Zl4RPuVBruDO,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,210368,4
2,PORFA,Feid,1214143,4TOmcZvw0gHa7GiXRbcYAW,1,0.795,0.542,6,-8.106,0,0.193,0.0903,0.0,0.117,0.55,167.823,audio_features,4TOmcZvw0gHa7GiXRbcYAW,spotify:track:4TOmcZvw0gHa7GiXRbcYAW,https://api.spotify.com/v1/tracks/4TOmcZvw0gHa7GiXRbcYAW,https://api.spotify.com/v1/audio-analysis/4TOmcZvw0gHa7GiXRbcYAW,232653,4
